id;nome;local;tamanho
1;sensor;calculating Minnesota;global olive impactful
2;Berkshire Car;Handmade Graphical User Interface revolutionary;invoice
3;RSS Lebanon;Steel Kuwaiti Dinar;Buckinghamshire database
4;invoice;Plain Handcrafted Central;Intelligent Wooden Soap
5;withdrawal;Trinidad and Tobago Implemented;Place monitor Metal
6;Plastic;Car;Brand
7;Automotive Uzbekistan Kina;Cross-platform Nuevo Sol;orange River
8;olive compelling Synchronised;Morocco Bahamas;Steel
9;full-range CSS French Guiana;Product one-to-one bandwidth;Wooden Fantastic
10;Licensed Wooden Shoes;SMTP expedite;Tasty Frozen Car Mobility Berkshire
